,train_loss,train_accuracy,validation_loss,validation_accuracy,time
0,0.15522605080409624,0.10743730676743388,0.1531796416083535,0.1346153846153846,458.478230714798
1,0.14951990562712192,0.17502576434215047,0.14656283477177987,0.20535714285714285,457.31174778938293
2,0.14080474890412764,0.24501889385091033,0.13864932242003117,0.25137362637362637,455.2700593471527
3,0.1337840204712289,0.2917382342837513,0.13315915692966063,0.2864010989010989,455.32640504837036
4,0.12892373187236464,0.3232566128478186,0.1272810466669418,0.33035714285714285,455.0914170742035
5,0.12446271132374498,0.3550326348333906,0.12400881618588835,0.35714285714285715,454.7227432727814
6,0.11963954203442502,0.38835451734799037,0.11972065679319613,0.3784340659340659,455.43645095825195
7,0.11460665532789947,0.41944349020954996,0.11590587093934908,0.41552197802197804,455.83228302001953
8,0.1095638945826711,0.45551356922019925,0.11093728047805829,0.43612637362637363,455.3466708660126
9,0.10410992066113246,0.49261422191686705,0.10628335227023114,0.47596153846153844,454.9555971622467
10,0.09871047717809923,0.5322913088285812,0.10297590846216285,0.507554945054945,455.62745237350464
11,0.09342066525430132,0.5595156303675712,0.09884318021627572,0.5274725274725275,454.8204207420349
12,0.08809086456715713,0.5908622466506355,0.09674351097463252,0.5302197802197802,455.2669360637665
13,0.08304419879629128,0.6213500515286843,0.09424137786685766,0.5487637362637363,454.90115666389465
14,0.07802519659607404,0.6481449673651666,0.09202931940064325,0.5618131868131868,455.94238209724426
15,0.07332060463043145,0.6776021985571968,0.08905249048065353,0.584478021978022,459.733455657959
16,0.06880464880624533,0.6982995534180694,0.08694514775505433,0.5927197802197802,456.25669622421265
17,0.06422556148427985,0.7226039161800069,0.0852297815484005,0.6023351648351648,455.27706718444824
18,0.05989055630883086,0.7427001030573686,0.08399677812889382,0.6153846153846154,455.69389724731445
19,0.05584737605008011,0.7634833390587427,0.08310349031791582,0.6229395604395604,455.6337389945984
