,train_loss,train_accuracy,validation_loss,validation_accuracy
0,1.2406617171065089,0.10826794040714205,1.2219665060268954,0.14467697907188354
1,1.1246224378246124,0.2521323780279768,1.0746164870218757,0.28844404003639673
2,0.9908469406923689,0.3729102695325827,0.9650076782844411,0.4012738853503185
3,0.8730296578021447,0.4795860343455021,0.8706021304288921,0.4713375796178344
4,0.7581418383335695,0.5710224041851473,0.7587958328744517,0.5641492265696088
5,0.6500643456512977,0.6432389400659616,0.6655062685455377,0.6223839854413102
6,0.5506494083124787,0.7082906857727738,0.578874592839641,0.6869881710646042
7,0.45427313758053767,0.7726600705106335,0.5116944421689493,0.7179253867151957
8,0.36797664927276963,0.8247469578073467,0.4461056948813175,0.7606915377616015
9,0.2921061147854663,0.8701239622426931,0.3747890474557795,0.8007279344858963
10,0.2243432803002167,0.9064028204253384,0.32767418772321166,0.8262056414922657
11,0.1688459696028715,0.93290117138633,0.30521064361148903,0.8471337579617835
12,0.1292106151395669,0.9516660980325259,0.25784517620335096,0.8771610555050046
13,0.0972828086660801,0.9647446832707836,0.26309532290909293,0.8698817106460418
14,0.0780067876796675,0.9746389173205959,0.23693267437370935,0.8889899909008189
15,0.060464155983690746,0.9810076196974866,0.22281839500339845,0.8962693357597816
16,0.048734496954003836,0.9835096099169794,0.20923883382258962,0.9017288444040037
17,0.04232392576483406,0.9854429659956784,0.20295959890453996,0.9044585987261147
18,0.03281534111781714,0.9890822244967588,0.19394565758560603,0.9099181073703366
19,0.032825655752173236,0.9858978733083135,0.2075576026535409,0.9035486806187443
